Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,1uF,C52923
"C3, C4, C5, C6, C8",0402,5,100nF,
C7,0603,1,10uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D4, D5, D6, D7, D8, D9",D_SOD-123,35,1N4148W,
D100,D_SOD-123F,1,SMF6.0CA,C2990473
"D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,11,SK6812MINI,
F1,1206,1,ASMD1206-150,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J101,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Female,
"R1, R2",0603,2,5.1k,
R3,0603,1,100,
R4,0603,1,10k,
"R5, R6",0603,2,4.7k,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW35, SW4, SW5, SW6, SW7, SW8, SW9",MX-Hotswap-Alps-1U,31,SW_Push,
"SW31, SW34",MX-Hotswap-Alps-1.25U,2,SW_Push,
"SW32, SW33",MX-Hotswap-Alps-2U,2,SW_Push,
SW36,RotaryEncoder_EC11,1,Rotary_Encoder_Switch,
"SW37, SW38",SW_SPST_SKQG_WithoutStem,2,SKQG,
U1,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,
U3,SOT-23-6,1,USBLC6-2SC6,
