Designator,Mid X,Mid Y,Rotation,Layer
C1,-130.9475,122.229441,90.0,bottom
C10,-137.8,107.771941,90.0,bottom
C2,-135.3575,122.239441,270.0,bottom
C3,-143.544295,66.409853,45.0,bottom
C4,-139.328717,75.010724,315.0,bottom
C5,-131.587119,71.253532,225.0,bottom
C6,-133.97714,63.701633,135.0,bottom
C7,-129.219472,70.67,315.0,bottom
C8,-132.4,84.161941,270.0,bottom
C9,-132.8,107.771941,90.0,bottom
D1,-244.644618,118.597809,277.0,bottom
D10,-42.392811,117.188794,263.0,bottom
D100,-138.476892,124.326941,270.0,bottom
D101,-137.8,84.161941,180.0,top
D102,-137.8,94.191941,180.0,top
D103,-103.783409,126.905624,277.0,bottom
D104,-36.309956,114.838436,187.0,bottom
D105,-41.81281,81.568794,277.0,bottom
D106,-71.22341,59.585624,277.0,bottom
D107,-137.8,54.541941,0.0,bottom
D108,-204.839054,59.741587,263.0,bottom
D109,-233.764618,81.637808,263.0,bottom
D11,-246.933534,99.665509,277.0,bottom
D110,-239.294998,114.732662,173.0,bottom
D111,-170.679056,126.701587,263.0,bottom
D12,-227.764726,101.172651,277.0,bottom
D13,-208.276319,103.578042,277.0,bottom
D14,-189.948719,96.52943,277.0,bottom
D15,-171.040714,94.207819,277.0,bottom
D16,-116.369253,92.76085,263.0,bottom
D17,-97.461249,95.08246,263.0,bottom
D18,-79.133647,102.131073,263.0,bottom
D19,-59.64524,99.725682,263.0,bottom
D2,-225.443115,120.080658,277.0,bottom
D20,-40.072811,98.288794,263.0,bottom
D21,-248.774617,81.547808,277.0,bottom
D22,-230.086337,82.264647,277.0,bottom
D23,-210.59793,84.670037,277.0,bottom
D24,-192.27033,77.621425,277.0,bottom
D25,-173.362325,75.299814,277.0,bottom
D26,-114.047641,73.852845,263.0,bottom
D27,-95.139638,76.174456,263.0,bottom
D28,-76.812036,83.223068,263.0,bottom
D29,-57.323629,80.817678,263.0,bottom
D3,-205.954708,122.486047,277.0,bottom
D30,-37.752812,79.378795,263.0,bottom
D31,-216.863103,64.635485,277.0,bottom
D32,-186.148499,60.743306,277.0,bottom
D33,-104.033645,59.597389,263.0,bottom
D34,-76.551727,65.241093,263.0,bottom
D35,-142.776892,106.620976,270.0,bottom
D4,-187.627108,115.437435,277.0,bottom
D5,-168.719103,113.115824,277.0,bottom
D6,-118.690863,111.668856,263.0,bottom
D7,-99.78286,113.990464,263.0,bottom
D8,-81.455258,121.039077,263.0,bottom
D9,-61.966851,118.633687,263.0,bottom
F1,-134.623949,126.426828,0.0,bottom
J1,-137.81,131.546941,180.0,bottom
J101,-154.876892,61.570976,0.0,top
J2,-141.61,100.806941,270.0,bottom
J3,-154.876892,77.690976,0.0,top
R1,-129.42,122.329441,90.0,bottom
R2,-127.901892,122.320976,90.0,bottom
R3,-131.548808,74.060624,315.0,bottom
R4,-130.525265,73.107041,135.0,bottom
R5,-131.01,97.071941,270.0,bottom
R6,-132.56,97.061941,270.0,bottom
SW1,-238.353252,122.402564,353.0,top
SW10,-37.239211,122.406602,7.0,top
SW11,-240.674859,103.494558,353.0,top
SW12,-221.186455,105.899948,353.0,top
SW13,-201.698048,108.305339,353.0,top
SW14,-183.370448,101.256726,353.0,top
SW15,-164.462441,98.935116,353.0,top
SW16,-111.130021,98.939153,7.0,top
SW17,-92.222017,101.260764,7.0,top
SW18,-73.894416,108.309376,7.0,top
SW19,-54.406009,105.903986,7.0,top
SW2,-218.864845,124.807955,353.0,top
SW20,-34.917602,103.498596,7.0,top
SW21,-242.996474,84.586556,353.0,top
SW22,-223.508066,86.991944,353.0,top
SW23,-204.019659,89.397334,353.0,top
SW24,-185.692059,82.348722,353.0,top
SW25,-166.784054,80.027111,353.0,top
SW26,-108.80841,80.031149,7.0,top
SW27,-89.900406,82.35276,7.0,top
SW28,-71.572805,89.401372,7.0,top
SW29,-52.084397,86.995982,7.0,top
SW3,-199.376437,127.213344,353.0,top
SW30,-32.59599,84.590594,7.0,top
SW31,-209.285174,66.05253,353.0,top
SW32,-178.559668,62.279914,353.0,top
SW33,-97.032797,62.28395,7.0,top
SW34,-66.30729,66.056568,7.0,top
SW35,-137.8,112.641941,0.0,top
SW36,-137.8,112.641941,90.0,top
SW37,-137.8,84.161941,180.0,bottom
SW38,-137.8,95.381941,180.0,bottom
SW4,-181.048837,120.164732,353.0,top
SW5,-162.140832,117.843121,353.0,top
SW6,-113.451632,117.847158,7.0,top
SW7,-94.543628,120.168769,7.0,top
SW8,-76.216025,127.217381,7.0,top
SW9,-56.72762,124.811991,7.0,top
U1,-133.1475,123.186941,270.0,bottom
U2,-137.624043,68.762751,315.0,bottom
U3,-142.3,124.306941,180.0,bottom
