Designator,Mid X,Mid Y,Rotation,Layer
C1,114.564473,22.01,0.0,bottom
C10,112.400001,58.609999,270.0,bottom
C11,119.950001,76.499999,270.0,bottom
C12,124.914473,74.796942,90.0,bottom
C2,111.389473,30.189999,270.0,bottom
C3,119.616224,33.259999,180.0,bottom
C4,122.765015,26.329175,90.0,bottom
C5,121.482988,31.805174,90.0,bottom
C6,121.426792,34.730153,270.0,bottom
C7,123.764473,26.734999,270.0,bottom
C8,119.014474,78.931941,0.0,bottom
C9,121.750001,58.579999,270.0,bottom
D1,10.344855,72.557809,277.0,bottom
D10,212.596663,71.148795,263.0,bottom
D101,117.189473,38.121941,180.0,top
D102,117.189473,48.151943,180.0,top
D103,151.0,80.859999,263.0,bottom
D104,218.679518,68.798436,353.0,bottom
D105,213.176664,35.528795,263.0,bottom
D106,183.766063,13.545624,263.0,bottom
D107,117.189473,8.501941,180.0,bottom
D108,50.390594,13.6721,277.0,bottom
D109,21.224855,35.597808,277.0,bottom
D11,8.05594,53.625509,277.0,bottom
D110,15.694475,68.692662,7.0,bottom
D111,84.310417,80.661587,277.0,bottom
D12,27.224748,55.132651,277.0,bottom
D13,46.713155,57.538042,277.0,bottom
D14,65.040755,50.48943,277.0,bottom
D15,83.948759,48.167819,277.0,bottom
D16,138.620221,46.720851,263.0,bottom
D17,157.528224,49.042461,263.0,bottom
D18,175.855827,56.091071,263.0,bottom
D19,195.344234,53.685682,263.0,bottom
D2,29.546358,74.040659,277.0,bottom
D20,214.916662,52.248795,263.0,bottom
D21,6.214856,35.507808,277.0,bottom
D22,24.903137,36.224648,277.0,bottom
D23,44.391544,38.63004,277.0,bottom
D24,62.719142,31.581425,277.0,bottom
D25,81.627148,29.259814,277.0,bottom
D26,140.941833,27.812847,263.0,bottom
D27,159.849835,30.134456,263.0,bottom
D28,178.177437,37.183069,263.0,bottom
D29,197.665845,34.777679,263.0,bottom
D3,49.034766,76.446047,277.0,bottom
D30,208.84061,36.094004,263.0,bottom
D31,38.87081,28.160046,97.0,bottom
D32,70.344071,25.605378,97.0,bottom
D33,149.842346,24.265759,83.0,bottom
D34,180.316968,26.748185,83.0,bottom
D35,122.400001,62.559999,270.0,bottom
D4,67.362365,69.397436,277.0,bottom
D5,86.27037,67.075825,277.0,bottom
D6,136.29861,65.628856,263.0,bottom
D7,155.206613,67.950464,263.0,bottom
D8,173.534216,74.999078,263.0,bottom
D9,193.022623,72.593687,263.0,bottom
F1,119.900001,80.55,180.0,bottom
J1,117.179473,85.506942,180.0,bottom
J101,100.112583,15.530977,0.0,top
J2,113.379473,54.76694,270.0,bottom
L1,111.850001,78.485,270.0,bottom
R1,113.700001,80.469999,90.0,bottom
R2,122.650001,80.509999,270.0,bottom
R3,121.114473,45.559999,270.0,bottom
R4,122.014474,51.931941,270.0,bottom
R5,123.014474,51.931941,270.0,bottom
SW1,16.636221,76.362565,353.0,top
SW10,217.750263,76.366602,7.0,top
SW11,14.314615,57.454559,353.0,top
SW12,33.803019,59.859948,353.0,top
SW13,53.291425,62.265344,353.0,top
SW14,71.619025,55.216726,353.0,top
SW15,90.527032,52.895116,353.0,top
SW16,143.859452,52.899153,7.0,top
SW17,162.767457,55.220765,7.0,top
SW18,181.095058,62.269377,7.0,top
SW19,200.583464,59.863986,7.0,top
SW2,36.124628,78.767956,353.0,top
SW20,220.071871,57.458596,7.0,top
SW21,11.992999,38.546556,353.0,top
SW22,31.481408,40.951944,353.0,top
SW23,50.969815,43.357336,353.0,top
SW24,69.297414,36.308722,353.0,top
SW25,88.205419,33.987111,353.0,top
SW26,146.181063,33.99115,7.0,top
SW27,165.089068,36.31276,7.0,top
SW28,183.416668,43.36137,7.0,top
SW29,202.905077,40.955983,7.0,top
SW3,55.613037,81.173344,353.0,top
SW30,222.393483,38.550594,7.0,top
SW31,45.704299,20.01253,353.0,top
SW32,76.429805,16.239915,353.0,top
SW33,157.956676,16.24395,7.0,top
SW34,188.682183,20.016569,7.0,top
SW35,117.189473,66.601942,0.0,top
SW36,117.189473,66.601942,90.0,top
SW37,117.189473,49.341941,180.0,bottom
SW4,73.940636,74.124732,353.0,top
SW5,92.848641,71.803122,353.0,top
SW6,141.537841,71.807156,7.0,top
SW7,160.445846,74.12877,7.0,top
SW8,178.773449,81.177381,7.0,top
SW9,198.261852,78.771992,7.0,top
U1,117.07998,27.646476,270.0,bottom
U2,115.914474,79.481941,90.0,bottom
U3,122.376973,76.226942,180.0,bottom
